,p_q,AIC
777,"(32, 4)",180.10272377085928
778,"(10, 33)",180.1093746177834
779,"(0, 11)",180.12006521152006
780,"(22, 15)",180.25061057747538
781,"(21, 13)",180.2513032667893
782,"(17, 25)",180.27786724416114
783,"(13, 30)",180.285169085774
784,"(31, 6)",180.30904377174127
785,"(27, 8)",180.31103547490255
786,"(7, 32)",180.3537427526324
787,"(19, 19)",180.36196348856583
788,"(10, 31)",180.37916617963342
789,"(25, 10)",180.42683240123222
790,"(31, 9)",180.43758051706203
791,"(20, 10)",180.49139258955248
792,"(16, 9)",180.49668900833612
793,"(0, 10)",180.56656275356153
794,"(33, 3)",180.57979007190687
795,"(22, 17)",180.6237261991282
796,"(17, 35)",180.67161903377635
797,"(18, 19)",180.71285342289409
798,"(17, 19)",180.8006087908795
799,"(20, 27)",180.81621592981094
800,"(21, 17)",180.84336743981848
801,"(22, 14)",180.9052315734583
802,"(11, 31)",181.0199393696434
803,"(32, 5)",181.0475948410985
804,"(18, 23)",181.05334853816453
805,"(14, 27)",181.0779334847119
806,"(35, 2)",181.08896727977606
807,"(31, 7)",181.10563743991975
808,"(14, 28)",181.15767643555387
809,"(30, 9)",181.16384317154672
810,"(8, 32)",181.25617639197128
811,"(21, 15)",181.31676015542416
812,"(13, 32)",181.35816609911174
813,"(21, 18)",181.3959128423695
814,"(23, 23)",181.40452997928412
815,"(20, 17)",181.4467297983705
816,"(20, 18)",181.451182837396
817,"(23, 24)",181.4544323465297
818,"(16, 26)",181.45660638029665
819,"(9, 33)",181.52318777120897
820,"(18, 35)",181.60213179834636
821,"(23, 22)",181.61416244747224
822,"(32, 11)",181.63856207083208
823,"(28, 10)",181.67353752053225
824,"(15, 28)",181.68453177013453
825,"(33, 4)",181.7304477925847
826,"(22, 16)",181.7328235435807
827,"(25, 25)",181.85143456147063
828,"(29, 11)",181.951892889251
829,"(22, 13)",182.22999406810783
830,"(15, 27)",182.2446917949969
831,"(19, 31)",182.25393689495124
832,"(16, 28)",182.36054465059317
833,"(32, 9)",182.3713871792407
834,"(14, 32)",182.3841310981549
835,"(24, 25)",182.40009213085204
836,"(26, 10)",182.4060172794526
837,"(18, 9)",182.46455801086722
838,"(29, 10)",182.49200630440814
839,"(34, 3)",182.5376726540077
840,"(35, 3)",182.61581904958769
841,"(25, 24)",182.6924099438575
842,"(19, 26)",182.74679069110053
843,"(21, 22)",182.75255030275298
844,"(23, 21)",182.8279645576221
845,"(31, 8)",182.85686251304656
846,"(12, 33)",182.89838282240717
847,"(21, 26)",183.0236988376351
848,"(12, 31)",183.10397244152966
849,"(30, 11)",183.16576811012317
850,"(14, 30)",183.16973219629122
851,"(17, 26)",183.27020199834448
852,"(15, 32)",183.29820403199005
853,"(14, 29)",183.32092408439388
854,"(18, 24)",183.33941448011413
855,"(33, 7)",183.3951525245007
856,"(22, 22)",183.4078145912901
857,"(23, 14)",183.4079936920292
858,"(11, 34)",183.43120887560664
859,"(32, 7)",183.44834765951447
860,"(18, 25)",183.4621875751361
861,"(16, 27)",183.53976754711528
862,"(15, 30)",183.66367689474788
863,"(32, 6)",183.68624103165513
864,"(33, 5)",183.71719365213812
865,"(34, 4)",183.83648185587728
866,"(23, 20)",183.90474151482107
867,"(18, 26)",183.91477191198322
868,"(14, 33)",183.95797450826763
869,"(30, 10)",183.97113176571634
870,"(15, 29)",184.00768171219784
871,"(19, 35)",184.03828197559173
872,"(20, 22)",184.11574222803424
873,"(22, 19)",184.1958453141413
874,"(27, 10)",184.21188580198316
875,"(17, 28)",184.2168085893125
876,"(19, 18)",184.23578102923926
877,"(20, 20)",184.2648861141097
878,"(13, 33)",184.27672023951294
879,"(34, 5)",184.33934454451423
880,"(26, 25)",184.48332486500956
881,"(23, 15)",184.54940543672458
882,"(15, 34)",184.55767374990631
883,"(33, 8)",184.61464179314413
884,"(22, 26)",184.65204644513906
885,"(19, 27)",184.68546414640497
886,"(35, 5)",184.7067577755688
887,"(20, 28)",184.76893232267457
888,"(24, 20)",184.78515628804104
889,"(33, 6)",184.78792057334704
890,"(25, 20)",184.78996340920384
891,"(16, 32)",184.85989661011206
892,"(19, 24)",184.9472766636687
893,"(25, 35)",185.01301239993123
894,"(22, 18)",185.02948190361428
895,"(35, 4)",185.0444095225337
896,"(34, 7)",185.04472520534054
897,"(20, 35)",185.0535091911537
898,"(21, 20)",185.17897583539053
899,"(21, 27)",185.2004764798881
900,"(18, 21)",185.23396037072462
901,"(23, 19)",185.26755225764978
902,"(16, 30)",185.29727987870467
903,"(15, 31)",185.31429147359353
904,"(35, 6)",185.3550954375233
905,"(25, 34)",185.36340055315168
906,"(15, 33)",185.44679989955986
907,"(34, 9)",185.45088508889808
908,"(22, 20)",185.4557824363765
909,"(13, 31)",185.49793221186854
910,"(17, 27)",185.52307620889593
911,"(32, 8)",185.62603618526074
912,"(31, 10)",185.6865380877994
913,"(19, 28)",185.8107811544711
914,"(26, 24)",185.92209680275704
915,"(16, 29)",186.0120305580267
916,"(21, 28)",186.0363396033086
917,"(23, 17)",186.04004623712643
918,"(16, 31)",186.12730097670098
919,"(24, 15)",186.13814524900388
920,"(16, 33)",186.2243709347164
921,"(24, 14)",186.25544850288844
922,"(18, 27)",186.27910898191953
923,"(35, 7)",186.2814328844109
924,"(33, 9)",186.32944416650645
925,"(27, 25)",186.3672362616424
926,"(23, 16)",186.42873051009548
927,"(25, 14)",186.49036203093226
928,"(20, 21)",186.51114759093184
929,"(34, 6)",186.52736921917278
930,"(17, 31)",186.54670508709037
931,"(26, 21)",186.57107738532412
932,"(19, 32)",186.6129283182027
933,"(20, 23)",186.61944660484204
934,"(23, 26)",186.63319136226173
935,"(17, 32)",186.65275565194872
936,"(27, 26)",186.6782625127128
937,"(22, 27)",186.77044260857951
938,"(27, 24)",186.8567782928478
939,"(32, 10)",186.92303317055757
940,"(26, 20)",187.12034050957482
941,"(16, 34)",187.20428106000995
942,"(25, 21)",187.2323014964086
943,"(20, 31)",187.42776803860244
944,"(21, 35)",187.5046903668815
945,"(33, 11)",187.75772711632635
946,"(24, 17)",187.77181733665861
947,"(23, 18)",187.78813261162583
948,"(34, 8)",187.78844499716206
949,"(26, 34)",187.79948990345753
950,"(35, 8)",188.0250141758321
951,"(35, 9)",188.03456954332202
952,"(17, 29)",188.15282107505055
953,"(17, 34)",188.24380118240447
954,"(26, 15)",188.2910630488882
955,"(19, 29)",188.3237876822338
956,"(24, 28)",188.47979258286023
957,"(22, 28)",188.52509620852342
958,"(17, 33)",188.56556661713446
959,"(18, 28)",188.68274349770815
960,"(23, 27)",188.78891408268464
961,"(24, 26)",189.02836774341648
962,"(21, 34)",189.0838023014143
963,"(22, 34)",189.12148832010828
964,"(19, 21)",189.12610870044836
965,"(27, 20)",189.14776926766854
966,"(29, 26)",189.1823595132417
967,"(14, 31)",189.1866750703587
968,"(21, 23)",189.24223565503235
969,"(20, 29)",189.24513358404707
970,"(22, 35)",189.24817967181832
971,"(19, 22)",189.25550173936466
972,"(17, 30)",189.49004267473322
973,"(28, 29)",189.62840998005143
974,"(24, 16)",189.68215704682854
975,"(28, 26)",189.69800412472625
976,"(18, 34)",189.7051549853642
977,"(28, 28)",189.7500590072836
978,"(29, 25)",189.851297966996
979,"(20, 30)",189.8615531630977
980,"(20, 32)",189.9195365162467
981,"(26, 35)",190.02951111896567
982,"(21, 31)",190.0848561974356
983,"(18, 30)",190.1641523786078
984,"(21, 29)",190.23202257503448
985,"(30, 25)",190.249985931887
986,"(19, 33)",190.29473820869413
987,"(25, 16)",190.33062929524993
988,"(25, 19)",190.37397625585965
989,"(26, 14)",190.37463352977352
990,"(18, 29)",190.405151324767
991,"(19, 8)",190.4098081113564
992,"(27, 34)",190.44310517150717
993,"(26, 26)",190.44729356227316
994,"(25, 26)",190.51791604494608
995,"(18, 33)",190.5473858421486
996,"(27, 21)",190.5594443539017
997,"(23, 35)",190.5837649983211
998,"(24, 27)",190.62617130639194
999,"(20, 33)",190.74374039348206
1000,"(24, 19)",190.7513360256553
1001,"(18, 31)",190.77202568945944
1002,"(23, 34)",190.80713246035577
1003,"(18, 32)",190.8171286090003
1004,"(0, 7)",190.84796595986313
1005,"(33, 10)",190.8498126632363
1006,"(23, 28)",190.85215355162728
1007,"(24, 18)",190.94796032899163
1008,"(25, 15)",191.05288926193703
1009,"(24, 21)",191.32040597787756
1010,"(27, 35)",191.3400733948473
1011,"(26, 22)",191.3726485433782
1012,"(25, 28)",191.42025379166117
1013,"(19, 30)",191.50158538823194
1014,"(21, 33)",191.5117702391273
1015,"(35, 10)",191.6729276768133
1016,"(21, 32)",192.00440118872854
1017,"(28, 30)",192.27611408967545
1018,"(24, 35)",192.2762219577353
1019,"(22, 31)",192.28423182079428
1020,"(28, 25)",192.2881923954581
1021,"(31, 25)",192.29397526072768
1022,"(23, 29)",192.30153298730949
1023,"(29, 28)",192.30853774952794
1024,"(28, 31)",192.4890907201642
1025,"(22, 23)",192.4978997265369
1026,"(24, 34)",192.56599187885976
1027,"(27, 15)",192.61626740900945
1028,"(28, 24)",192.6549269608456
1029,"(25, 17)",192.71374588739243
1030,"(30, 26)",192.73326596025197
1031,"(34, 11)",192.74800383768618
1032,"(22, 29)",192.91390370945635
1033,"(3, 0)",192.91539275435383
1034,"(25, 27)",192.9487278363723
1035,"(26, 27)",192.95818059356486
1036,"(22, 32)",193.04348654952412
1037,"(33, 33)",193.1342548606662
1038,"(31, 21)",193.15327637496202
1039,"(34, 10)",193.15671341929917
1040,"(29, 20)",193.3963671539631
1041,"(26, 16)",193.56730129054736
1042,"(35, 11)",193.59566093833706
1043,"(19, 34)",193.6017701977285
1044,"(29, 24)",193.6028403436095
1045,"(30, 27)",193.61735149097922
1046,"(28, 22)",193.63998601739212
1047,"(26, 28)",193.70309623753695
1048,"(30, 20)",193.90868242829086
1049,"(30, 34)",193.9100915846046
1050,"(20, 34)",193.97351373616246
1051,"(21, 30)",193.97495451329632
1052,"(26, 19)",193.99737690842932
1053,"(27, 27)",194.1390455460824
1054,"(24, 29)",194.25679225565682
1055,"(27, 28)",194.26192532005453
1056,"(23, 30)",194.26217879717404
1057,"(26, 18)",194.2996135567243
1058,"(27, 17)",194.38757807939868
1059,"(24, 23)",194.45347368965304
1060,"(25, 22)",194.49396647455322
1061,"(31, 26)",194.49497458565773
1062,"(26, 17)",194.53629715465004
1063,"(27, 16)",194.60284589254627
1064,"(29, 27)",194.63443907719437
1065,"(23, 31)",194.82716658776448
1066,"(28, 19)",194.87199984922452
1067,"(29, 21)",194.9137078474648
1068,"(25, 18)",194.9811002000348
1069,"(24, 22)",194.99352235222597
1070,"(31, 29)",195.39385878586714
1071,"(27, 19)",195.46779560011416
1072,"(28, 21)",195.6429853415039
1073,"(33, 25)",195.7730319458174
1074,"(28, 20)",195.8959831400602
1075,"(30, 30)",195.9009507486532
1076,"(31, 30)",195.9490984851139
1077,"(23, 32)",195.95856262416112
1078,"(22, 33)",196.06881145056383
1079,"(24, 30)",196.12413767930266
1080,"(27, 22)",196.1843846925259
1081,"(31, 27)",196.27777148928052
1082,"(31, 33)",196.30250540026793
1083,"(30, 28)",196.30629171483037
1084,"(24, 31)",196.30810170715552
1085,"(26, 23)",196.36380049719554
1086,"(27, 18)",196.37438957996477
1087,"(29, 31)",196.47678750829786
1088,"(32, 26)",196.48660513387895
1089,"(34, 25)",196.49015112407005
1090,"(25, 29)",196.51263183571413
1091,"(25, 23)",196.52198639137873
1092,"(22, 30)",196.7288582165305
1093,"(30, 21)",196.73151727525308
1094,"(35, 26)",197.07076819988703
1095,"(25, 31)",197.1076893111807
1096,"(35, 12)",197.1633231062664
1097,"(29, 19)",197.22806042319098
1098,"(25, 33)",197.29523826835302
1099,"(32, 29)",197.39703483828663
1100,"(32, 30)",197.5015119312484
1101,"(28, 27)",197.5645558475089
1102,"(24, 13)",197.5939847769668
1103,"(29, 22)",197.67874859711304
1104,"(26, 31)",197.76422254408823
1105,"(29, 35)",197.78897364254706
1106,"(26, 32)",197.90574511899402
1107,"(33, 12)",197.91016044768162
1108,"(26, 33)",197.91018982368115
1109,"(30, 29)",198.0147158594025
1110,"(31, 12)",198.0364028133061
1111,"(32, 25)",198.16560083345647
1112,"(25, 30)",198.21903182895858
1113,"(33, 26)",198.29518845672948
1114,"(31, 28)",198.45479712738828
1115,"(29, 33)",198.46050627222644
1116,"(28, 18)",198.55625916063946
1117,"(28, 17)",198.5673752020121
1118,"(25, 32)",198.60051060002817
1119,"(26, 29)",198.72027782019126
1120,"(34, 33)",198.8467198603853
1121,"(32, 24)",198.88255154334695
1122,"(23, 33)",198.9761383604185
1123,"(33, 24)",198.99626974405982
1124,"(35, 33)",199.1031714979558
1125,"(31, 20)",199.13077600181526
1126,"(32, 33)",199.15410616834873
1127,"(34, 26)",199.23795938864956
1128,"(23, 13)",199.28976400701768
1129,"(28, 33)",199.30411865988702
1130,"(27, 23)",199.51548995952245
1131,"(34, 12)",199.56388386637101
1132,"(34, 31)",199.5753136736535
1133,"(30, 35)",199.59034266433713
1134,"(35, 25)",199.6062281595812
1135,"(27, 33)",199.6550048468672
1136,"(26, 30)",199.71873464557626
1137,"(27, 32)",199.72450414494494
1138,"(32, 22)",199.75684468913417
1139,"(28, 32)",200.1334921133035
1140,"(30, 19)",200.1482798446774
1141,"(27, 31)",200.15855636959037
1142,"(2, 0)",200.39480455357392
1143,"(31, 22)",200.43148010022284
1144,"(32, 28)",200.44591214813914
1145,"(27, 29)",200.45716551664992
1146,"(29, 34)",200.57132352636802
1147,"(24, 33)",200.5744790644356
1148,"(29, 18)",200.7014819307838
1149,"(30, 33)",200.72496804597225
1150,"(32, 21)",200.74528202954673
1151,"(30, 22)",200.93667236000394
1152,"(31, 31)",200.9586392263966
1153,"(31, 19)",201.25690226178446
1154,"(33, 30)",201.46501021344636
1155,"(28, 34)",201.54423949722315
1156,"(24, 32)",201.70355033378797
1157,"(33, 29)",201.77263727832604
1158,"(27, 30)",201.79774681391757
1159,"(32, 31)",201.89952412794088
1160,"(30, 24)",202.11353521533184
1161,"(31, 18)",202.39382739060628
1162,"(33, 27)",202.55246294046339
1163,"(31, 32)",202.61582340411704
1164,"(33, 28)",202.65736807348284
1165,"(28, 35)",202.77676177298406
1166,"(33, 22)",202.89885780858205
1167,"(30, 18)",203.00044515960542
1168,"(28, 23)",203.0156497213124
1169,"(31, 24)",203.56153277722262
1170,"(33, 19)",203.88626852630094
1171,"(34, 30)",203.91222743805014
1172,"(32, 20)",204.15941416872596
1173,"(33, 31)",204.3451441358311
1174,"(34, 19)",204.39239161471033
1175,"(35, 19)",204.44958157302267
1176,"(29, 29)",204.48719330328782
1177,"(34, 28)",204.62428540338078
1178,"(35, 31)",204.9385148705636
1179,"(29, 23)",205.00097577543872
1180,"(32, 27)",205.06919004056266
1181,"(32, 19)",205.13963394569927
1182,"(32, 18)",205.2869945162073
1183,"(34, 29)",205.49527620248637
1184,"(31, 23)",205.53975159928015
1185,"(35, 28)",205.64979921488955
1186,"(30, 23)",205.7988475718421
1187,"(29, 30)",205.97243567446458
1188,"(32, 34)",206.0896786896164
1189,"(31, 34)",206.1432944316212
1190,"(35, 30)",206.20390369127858
1191,"(32, 17)",206.40550981558368
1192,"(33, 18)",206.59151333182382
1193,"(8, 4)",206.75442226116564
1194,"(32, 23)",206.83203526847902
1195,"(34, 27)",206.87004659225627
1196,"(33, 20)",207.00571127082264
1197,"(35, 29)",207.05204002849433
1198,"(34, 18)",207.60398500023916
1199,"(29, 17)",207.71367819475142
1200,"(35, 34)",207.9312685006155
1201,"(32, 12)",207.94443617554958
1202,"(29, 32)",207.99284829846346
1203,"(31, 35)",208.18344392014532
1204,"(34, 20)",208.35843988352923
1205,"(33, 21)",208.4476540665831
1206,"(35, 18)",209.06729155155347
1207,"(30, 17)",209.26703709303797
1208,"(34, 22)",209.80326498580024
1209,"(32, 35)",210.3951999320891
1210,"(20, 8)",210.57156245168886
1211,"(35, 20)",210.63289526981498
1212,"(34, 34)",211.11899459919704
1213,"(34, 32)",211.12877915732597
1214,"(30, 31)",211.192068250545
1215,"(33, 34)",211.2918015583208
1216,"(35, 27)",211.5769966633532
1217,"(35, 22)",211.6761336738491
1218,"(35, 32)",211.96574424820597
1219,"(33, 35)",212.91555123326594
1220,"(30, 32)",212.92514208282515
1221,"(33, 23)",213.09133929581898
1222,"(34, 35)",213.35430551841583
1223,"(34, 21)",213.66763832000737
1224,"(33, 32)",213.9013259955681
1225,"(32, 32)",214.62428685403552
1226,"(0, 6)",214.95552612533265
1227,"(34, 23)",215.71845394841193
1228,"(35, 24)",215.88317992553738
1229,"(35, 35)",215.93744196906616
1230,"(34, 24)",216.28107809520498
1231,"(35, 23)",217.01604084947996
1232,"(33, 17)",218.06397841061312
1233,"(31, 17)",222.33286247065985
1234,"(15, 8)",228.16598415803037
1235,"(35, 17)",228.2664663578917
1236,"(27, 14)",229.8795050288269
1237,"(0, 5)",234.4714297513817
1238,"(35, 13)",240.82403101785383
1239,"(29, 12)",244.07367400067656
1240,"(32, 13)",253.8869429875258
1241,"(0, 4)",262.6076560435358
1242,"(29, 15)",265.98946697453255
1243,"(1, 0)",272.70392809023417
1244,"(7, 4)",283.38176695351865
1245,"(18, 8)",293.8530432797496
1246,"(17, 8)",324.2206829201132
1247,"(34, 17)",350.82205344455144
1248,"(33, 15)",352.0478449885723
1249,"(30, 12)",355.2743469862434
1250,"(34, 13)",357.7540488591723
1251,"(0, 3)",362.6534633879853
1252,"(0, 2)",461.3999423993225
1253,"(27, 12)",470.2279799119103
1254,"(28, 15)",505.56424318252203
1255,"(33, 13)",605.9148275231828
1256,"(16, 8)",624.7813951563802
1257,"(26, 12)",643.3502549517003
1258,"(34, 15)",670.7540769956612
1259,"(31, 15)",674.6753710832458
1260,"(0, 1)",739.2001941955377
1261,"(32, 15)",827.3329151758935
1262,"(17, 6)",846.6848130250984
1263,"(30, 15)",857.2524214390496
1264,"(35, 15)",864.3451262273159
1265,"(28, 12)",941.0979457554167
1266,"(31, 13)",993.8784111656896
1267,"(35, 14)",1027.5693569682142
1268,"(30, 13)",1036.7449952211211
1269,"(29, 16)",1058.7516776913394
1270,"(24, 12)",1174.014372846611
1271,"(29, 13)",1218.3217476013551
1272,"(23, 12)",1243.47448400922
1273,"(0, 0)",1253.0644559260904
1274,"(25, 12)",1268.21581705964
1275,"(28, 13)",1523.1160279750661
1276,"(26, 13)",1531.2856034620054
1277,"(27, 13)",1657.5957023334402
1278,"(34, 14)",1692.2252751795813
1279,"(16, 6)",2909.8023977347857
1280,"(33, 14)",3001.106083020059
1281,"(25, 13)",3428.4220770021875
1282,"(35, 16)",3718.637526433649
1283,"(34, 16)",3722.9669785768747
1284,"(32, 14)",4346.4947846713085
1285,"(31, 16)",4858.107429122261
1286,"(33, 16)",5250.996761649861
1287,"(32, 16)",5316.388840615758
1288,"(31, 14)",5692.770505087144
1289,"(30, 14)",7039.367304717363
1290,"(15, 6)",8352.386302940495
1291,"(29, 14)",8379.70893749718
1292,"(28, 14)",9592.771449218328
1293,"(14, 6)",13838.339152126577
