,p_q,AIC
178,"(15, 0)",163.21893222523195
179,"(14, 1)",163.24179874232215
180,"(5, 1)",163.25781258038933
181,"(17, 5)",163.30462861107142
182,"(10, 20)",163.34426010711394
183,"(5, 13)",163.37624236140147
184,"(13, 11)",163.41614400366183
185,"(4, 7)",163.41691613046868
186,"(11, 9)",163.42394795389583
187,"(13, 14)",163.4804122447478
188,"(20, 6)",163.51465330451603
189,"(18, 1)",163.51642629084864
190,"(2, 4)",163.51858069031744
191,"(3, 3)",163.5218314209319
192,"(7, 21)",163.53367686665558
193,"(2, 18)",163.57425717829778
194,"(6, 2)",163.61081173247015
195,"(14, 13)",163.6125421512007
196,"(21, 0)",163.6821873146323
197,"(20, 3)",163.69112664331317
198,"(8, 3)",163.70484912117507
199,"(16, 3)",163.71492870133113
200,"(7, 18)",163.74124168138516
201,"(14, 11)",163.7429884848132
202,"(13, 19)",163.7747514730456
203,"(5, 9)",163.7759764218769
204,"(5, 8)",163.78904758129167
205,"(6, 21)",163.81334487985293
206,"(3, 4)",163.82590892856933
207,"(19, 4)",163.82938198656927
208,"(0, 24)",163.85406980026966
209,"(24, 1)",163.8612625308507
210,"(18, 5)",163.86162226629466
211,"(4, 4)",163.87075173163345
212,"(4, 24)",163.88151437480218
213,"(20, 1)",163.92084709606496
214,"(15, 5)",163.93848222751785
215,"(11, 20)",163.9794741831695
216,"(15, 12)",164.00093851535985
217,"(3, 16)",164.02543145846442
218,"(8, 15)",164.06328184273485
219,"(8, 22)",164.10267173556142
220,"(23, 3)",164.10648579164362
221,"(10, 21)",164.11938059785803
222,"(10, 16)",164.12570473345616
223,"(8, 11)",164.16066365052052
224,"(11, 19)",164.16557460744997
225,"(2, 5)",164.21505703490993
226,"(1, 5)",164.24236651828744
227,"(3, 20)",164.25325209242422
228,"(19, 0)",164.29194847159715
229,"(5, 0)",164.31590540143014
230,"(16, 0)",164.32286331425652
231,"(1, 6)",164.33655353445712
232,"(11, 10)",164.34502027147212
233,"(5, 23)",164.3510739502583
234,"(1, 20)",164.36231612949916
235,"(16, 12)",164.39053579008873
236,"(14, 2)",164.410164500058
237,"(27, 0)",164.45794570557783
238,"(11, 0)",164.46826967883925
239,"(9, 3)",164.5008346306824
240,"(6, 22)",164.52577510259522
241,"(13, 3)",164.52790826224808
242,"(9, 16)",164.54424725684513
243,"(14, 14)",164.5602361973978
244,"(4, 15)",164.56911039990587
245,"(6, 16)",164.618491787315
246,"(1, 25)",164.6349775226587
247,"(8, 0)",164.72488614953375
248,"(12, 3)",164.7301963984647
249,"(18, 7)",164.7346723628876
250,"(25, 1)",164.74024103809256
251,"(2, 19)",164.76233393044186
252,"(2, 7)",164.7637011043444
253,"(8, 9)",164.76509106054013
254,"(2, 17)",164.7790690559886
255,"(2, 22)",164.8198605068145
256,"(15, 1)",164.84059755637728
257,"(2, 24)",164.84284537635716
258,"(7, 16)",164.84574462840325
259,"(16, 11)",164.8562110667605
260,"(21, 6)",164.86067760574628
261,"(1, 23)",164.88532611338235
262,"(24, 2)",164.91303961559373
263,"(19, 7)",164.9343491396871
264,"(26, 0)",164.96396273495742
265,"(22, 4)",164.98905901321746
266,"(4, 25)",165.00134392627007
267,"(7, 1)",165.09758557302416
268,"(0, 25)",165.13945370689436
269,"(17, 0)",165.1519456736905
270,"(9, 12)",165.27783006589226
271,"(19, 1)",165.3136841376867
272,"(11, 14)",165.3154617169344
273,"(5, 6)",165.34169361730704
274,"(10, 10)",165.35206596244328
275,"(11, 21)",165.40783269446945
276,"(15, 13)",165.44478001790884
277,"(6, 3)",165.45806515344267
278,"(19, 13)",165.46586720994011
279,"(7, 7)",165.52323192576594
280,"(3, 19)",165.5414923669231
281,"(21, 7)",165.56502687631456
282,"(7, 23)",165.59665343635345
283,"(9, 7)",165.59687926847414
284,"(7, 2)",165.61299076727676
285,"(10, 22)",165.70680401568566
286,"(13, 7)",165.72457386226577
287,"(20, 4)",165.79252002060323
288,"(8, 26)",165.79972311045603
289,"(14, 12)",165.8037668052108
290,"(3, 21)",165.82949461242512
291,"(19, 5)",165.8352573929431
292,"(5, 4)",165.86093429965064
293,"(5, 24)",165.86414827112594
294,"(17, 12)",165.88464466153113
295,"(15, 14)",165.8975647232026
296,"(6, 9)",165.90171248052766
297,"(14, 3)",165.91026392329474
298,"(12, 19)",165.92097049738277
299,"(1, 7)",165.97340777879788
300,"(16, 2)",165.98511383956279
301,"(5, 3)",165.99734101890942
302,"(24, 3)",166.01764908358405
303,"(3, 17)",166.03703463056306
304,"(10, 24)",166.06501356781382
305,"(16, 1)",166.06763398526456
306,"(12, 17)",166.07264773809808
307,"(8, 7)",166.08714486984945
308,"(1, 24)",166.15499540367438
309,"(10, 9)",166.17207912747494
310,"(4, 16)",166.18297275399888
311,"(21, 5)",166.18629745135854
312,"(13, 0)",166.18647755489832
313,"(1, 21)",166.1936065519886
314,"(8, 8)",166.21238508184246
315,"(9, 11)",166.23095321263747
316,"(3, 5)",166.24235546705643
317,"(2, 25)",166.27550874221578
318,"(12, 10)",166.31927338198415
319,"(23, 4)",166.32071025313553
320,"(1, 3)",166.32231429081926
321,"(28, 0)",166.338120053664
322,"(2, 20)",166.36955956762978
323,"(10, 23)",166.37859536955983
324,"(5, 7)",166.40161371022361
325,"(2, 1)",166.43803531098547
326,"(7, 6)",166.44997607156955
327,"(12, 0)",166.4682306300321
328,"(11, 1)",166.46825394881498
329,"(9, 0)",166.47661838134542
330,"(9, 22)",166.49483210543158
331,"(12, 20)",166.5344348644273
332,"(2, 23)",166.535267467844
333,"(1, 1)",166.53984544272953
334,"(2, 21)",166.56896012497873
335,"(1, 26)",166.5739906436652
336,"(3, 24)",166.6055769530135
337,"(6, 24)",166.60879336394908
338,"(12, 15)",166.6549046539716
339,"(10, 3)",166.69174678279617
340,"(12, 5)",166.71472742355428
341,"(26, 1)",166.71817911731193
342,"(25, 2)",166.72467762511508
343,"(2, 2)",166.7316083791784
344,"(2, 8)",166.7629362333816
345,"(1, 2)",166.77774581879808
346,"(22, 5)",166.85399425817207
347,"(17, 2)",166.90048597575225
348,"(12, 9)",166.9077398084119
349,"(6, 6)",166.92904258129303
350,"(13, 5)",166.94622234396937
351,"(8, 23)",166.9541142454815
352,"(9, 9)",166.96751107884805
353,"(20, 5)",167.01749271118658
354,"(8, 1)",167.02907207996256
355,"(17, 11)",167.04061238711972
356,"(6, 23)",167.11576236946533
357,"(12, 21)",167.16400463720987
358,"(7, 3)",167.18363891155946
359,"(7, 25)",167.19604527164836
360,"(13, 17)",167.20883133635908
361,"(0, 26)",167.24208615612068
362,"(10, 0)",167.26966681396038
363,"(11, 22)",167.28492650526906
364,"(11, 15)",167.32093148143696
365,"(4, 0)",167.32501596084023
366,"(9, 24)",167.35471484927012
367,"(11, 5)",167.36995257678458
368,"(8, 2)",167.43771411169746
369,"(4, 5)",167.44326833542186
370,"(8, 24)",167.47275572835952
371,"(12, 7)",167.5044542661792
372,"(0, 27)",167.5055937562082
373,"(25, 3)",167.5111513809249
374,"(6, 26)",167.52087412076762
375,"(6, 7)",167.5277020792534
376,"(10, 17)",167.52826943688308
377,"(1, 27)",167.54078221832043
378,"(0, 12)",167.55679304351617
379,"(13, 21)",167.82273384292554
380,"(16, 7)",167.83220339480036
381,"(11, 24)",167.8388258563137
382,"(3, 25)",167.86776119526132
383,"(1, 8)",167.90596270533223
384,"(8, 25)",167.9179979634677
385,"(2, 9)",167.92969378854673
386,"(17, 1)",167.9937622852742
387,"(6, 4)",167.9973921030643
388,"(3, 1)",168.00662772681844
389,"(26, 4)",168.01688927742924
390,"(8, 6)",168.01711559029698
391,"(9, 23)",168.06511756796377
392,"(2, 26)",168.11114644214538
393,"(27, 1)",168.11796086469383
394,"(26, 3)",168.1731809372411
395,"(29, 0)",168.17637090047396
396,"(6, 8)",168.26720647044755
397,"(13, 15)",168.26975279883263
398,"(5, 25)",168.27225186707076
399,"(18, 10)",168.2855946757307
400,"(7, 8)",168.2946300976524
401,"(8, 27)",168.3507454061088
402,"(27, 2)",168.35275093361338
403,"(9, 1)",168.3763872224242
404,"(15, 3)",168.37695328695366
405,"(23, 5)",168.41467709137197
406,"(28, 1)",168.41554298550778
407,"(15, 19)",168.41796232516612
408,"(11, 17)",168.43808267716264
409,"(11, 23)",168.4606850986372
410,"(16, 14)",168.4637451438884
411,"(17, 13)",168.4670646709407
412,"(12, 1)",168.46733711465225
413,"(12, 24)",168.47234115458028
414,"(13, 20)",168.48331014842512
